Source,Target,Weight,Type
ostrovsky-bednaja-nevesta_fem,ostrovsky-bednaja-nevesta_male,6,undirected
ostrovsky-bednaja-nevesta_fem,ostrovsky-les_fem,3,undirected
ostrovsky-bednaja-nevesta_fem,ostrovsky-ne-v-svoi-sani-ne-sadis_fem,5,undirected
ostrovsky-bednaja-nevesta_fem,ostrovsky-neozhidannyj-sluchaj_male,2,undirected
ostrovsky-bednaja-nevesta_male,ostrovsky-bednaja-nevesta_fem,6,undirected
ostrovsky-bednaja-nevesta_male,ostrovsky-bogatye-nevesty_male,5,undirected
ostrovsky-bednaja-nevesta_male,ostrovsky-neozhidannyj-sluchaj_fem,3,undirected
ostrovsky-bednaja-nevesta_male,ostrovsky-neozhidannyj-sluchaj_male,4,undirected
ostrovsky-bednost-ne-porok_fem,ostrovsky-greh-da-beda-na-kogo-ne-zhivet_fem,2,undirected
ostrovsky-bednost-ne-porok_fem,ostrovsky-ne-tak-zhivi-kak-hochetsya_fem,5,undirected
ostrovsky-bednost-ne-porok_fem,ostrovsky-semejnaya-kartina_fem,1,undirected
ostrovsky-bednost-ne-porok_fem,ostrovsky-svoi-ljudi_fem,1,undirected
ostrovsky-bednost-ne-porok_male,ostrovsky-goryachee-serdce_fem,2,undirected
ostrovsky-bednost-ne-porok_male,ostrovsky-les_male,3,undirected
ostrovsky-bednost-ne-porok_male,ostrovsky-ne-tak-zhivi-kak-hochetsya_fem,3,undirected
ostrovsky-bednost-ne-porok_male,ostrovsky-ne-tak-zhivi-kak-hochetsya_male,3,undirected
ostrovsky-bednost-ne-porok_male,ostrovsky-ne-v-svoi-sani-ne-sadis_male,3,undirected
ostrovsky-bednost-ne-porok_male,ostrovsky-semejnaya-kartina_male,2,undirected
ostrovsky-bednost-ne-porok_male,ostrovsky-svoi-ljudi_male,3,undirected
ostrovsky-bednost-ne-porok_male,ostrovsky-trudovoj-hleb_male,2,undirected
ostrovsky-bednost-ne-porok_male,ostrovsky-v-chuzhom-piru-pohmelje_fem,1,undirected
ostrovsky-bednost-ne-porok_male,ostrovsky-v-chuzhom-piru-pohmelje_male,2,undirected
ostrovsky-beshenye-dengi_fem,ostrovsky-beshenye-dengi_male,3,undirected
ostrovsky-beshenye-dengi_fem,ostrovsky-bez-viny-vinovatye_male,2,undirected
ostrovsky-beshenye-dengi_fem,ostrovsky-na-vsyakogo-mudreca-dovolno-prostoty_fem,1,undirected
ostrovsky-beshenye-dengi_male,ostrovsky-beshenye-dengi_fem,3,undirected
ostrovsky-beshenye-dengi_male,ostrovsky-bez-viny-vinovatye_male,5,undirected
ostrovsky-beshenye-dengi_male,ostrovsky-bogatye-nevesty_fem,2,undirected
ostrovsky-beshenye-dengi_male,ostrovsky-bogatye-nevesty_male,1,undirected
ostrovsky-beshenye-dengi_male,ostrovsky-dohodnoe-mesto_fem,2,undirected
ostrovsky-beshenye-dengi_male,ostrovsky-dohodnoe-mesto_male,1,undirected
ostrovsky-beshenye-dengi_male,ostrovsky-les_male,1,undirected
ostrovsky-beshenye-dengi_male,ostrovsky-na-vsyakogo-mudreca-dovolno-prostoty_male,5,undirected
ostrovsky-beshenye-dengi_male,ostrovsky-ne-ot-mira-sego_male,2,undirected
ostrovsky-bespridannitsa_fem,ostrovsky-bespridannitsa_male,2,undirected
ostrovsky-bespridannitsa_fem,ostrovsky-bez-viny-vinovatye_male,1,undirected
ostrovsky-bespridannitsa_fem,ostrovsky-nevolnicy_fem,4,undirected
ostrovsky-bespridannitsa_fem,ostrovsky-svoi-sobaki-gryzutsya-chuzhaya-ne-pristavaj_male,3,undirected
ostrovsky-bespridannitsa_male,ostrovsky-bespridannitsa_fem,2,undirected
ostrovsky-bespridannitsa_male,ostrovsky-bez-viny-vinovatye_fem,2,undirected
ostrovsky-bespridannitsa_male,ostrovsky-bez-viny-vinovatye_male,6,undirected
ostrovsky-bespridannitsa_male,ostrovsky-dohodnoe-mesto_male,4,undirected
ostrovsky-bespridannitsa_male,ostrovsky-na-vsyakogo-mudreca-dovolno-prostoty_male,2,undirected
ostrovsky-bespridannitsa_male,ostrovsky-ne-ot-mira-sego_fem,1,undirected
ostrovsky-bespridannitsa_male,ostrovsky-ne-ot-mira-sego_male,1,undirected
ostrovsky-bespridannitsa_male,ostrovsky-ne-soshlis-harakterami_fem,3,undirected
